"","subnum","condition","task","order","trial","interference","date","max","exponent","threshold","correct","rt1","rt2","r","addends","sum","digits","int_score","trial_time","dot","dob","age","gender","abacus_q","finger.counter","male","gender.12"
"283",3,"baseline","baseline",4,30,0,"20130709T103327",32.1,1.2,18,1,10.62,11.43,85,1,85,"28  25  32",-1,14.5,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"285",3,"baseline","baseline",4,32,0,"20130709T103327",36.4,1.2,20,1,16.47,17.38,60,1,60,"15   8  37",-1,20.5,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"287",3,"baseline","baseline",4,21,0,"20130709T103327",17.8,1.2,11,0,17.06,18.09,54,1,53,"18  18  17",-1,21.3,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"144",3,"blindfold","blindfold",3,19,0,"20130709T102308",21.7,1.2,13,1,9.97,10.82,44,1,44,"19   2  23",-1,13.8,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"145",3,"blindfold","blindfold",3,17,0,"20130709T102308",17.8,1.2,11,1,10.05,10.53,48,1,48,"17  13  18",-1,13.7,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"146",3,"blindfold","blindfold",3,20,0,"20130709T102308",23.7,1.2,14,1,15.15,15.9,32,1,32,"3   4  25",-1,18.9,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"147",3,"blindfold","blindfold",3,21,0,"20130709T102308",25.8,1.2,15,1,11.24,12.01,58,1,58,"19  13  26",-1,15.2,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"148",3,"blindfold","blindfold",3,18,0,"20130709T102308",19.7,1.2,12,1,9.68,10.62,46,1,46,"20  12  14",-1,13.6,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"157",3,"blindfold","blindfold",3,16,0,"20130709T102308",19.7,1.2,12,0,16.72,17.67,43,1,52,"21  17  14",-1,21,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"166",3,"blindfold","blindfold",3,11,0,"20130709T102308",14,1.2,9,0,5.49,6.36,45,1,35,"7  14  14",-1,9.89,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"167",3,"blindfold","blindfold",3,12,0,"20130709T102308",12.1,1.2,8,1,3.66,4.37,17,1,17,"1   4  12",-1,7.45,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"168",3,"blindfold","blindfold",3,13,0,"20130709T102308",14,1.2,9,1,7.37,8.04,35,1,35,"11  13  11",-1,11.1,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"169",3,"blindfold","blindfold",3,14,0,"20130709T102308",15.8,1.2,10,1,21.23,21.96,32,1,32,"1  16  15",-1,25,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"170",3,"blindfold","blindfold",3,15,0,"20130709T102308",17.8,1.2,11,1,4.1,4.66,30,1,30,"10  19   1",-1,7.46,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"187",3,"blindfold","blindfold",3,4,0,"20130709T102308",2.3,1.2,2,1,2.36,2.87,5,1,5,"1  2  2",-1,5.53,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"188",3,"blindfold","blindfold",3,5,0,"20130709T102308",3.74,1.2,3,1,2.19,2.59,8,1,8,"3  3  2",-1,5.3,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"189",3,"blindfold","blindfold",3,6,0,"20130709T102308",5.28,1.2,4,1,1.91,2.47,11,1,11,"5  4  2",-1,5.28,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"190",3,"blindfold","blindfold",3,7,0,"20130709T102308",6.9,1.2,5,1,4.69,5.26,10,1,10,"1  3  6",-1,8.14,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"191",3,"blindfold","blindfold",3,8,0,"20130709T102308",8.59,1.2,6,1,3.11,3.96,18,1,18,"9  6  3",-1,6.84,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"192",3,"blindfold","blindfold",3,9,0,"20130709T102308",10.3,1.2,7,1,2.15,2.97,27,1,27,"10  10   7",-1,6.17,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"193",3,"blindfold","blindfold",3,10,0,"20130709T102308",12.1,1.2,8,1,5.41,6.36,36,1,36,"11  12  13",-1,9.53,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"206",3,"blindfold","blindfold",3,22,0,"20130709T102308",27.9,1.2,16,1,14.31,15.19,59,1,59,"7  27  25",-1,18.3,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"207",3,"blindfold","blindfold",3,23,0,"20130709T102308",30,1.2,17,0,7.61,8.34,59,1,58,"17  30  11",-1,11.4,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"208",3,"blindfold","blindfold",3,24,0,"20130709T102308",27.9,1.2,16,0,16.38,16.88,52,1,43,"3  12  28",-1,19.7,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"209",3,"blindfold","blindfold",3,25,0,"20130709T102308",25.8,1.2,15,1,17.87,18.57,48,1,48,"26  13   9",-1,21.7,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"210",3,"blindfold","blindfold",3,26,0,"20130709T102308",27.9,1.2,16,1,17.9,18.97,76,1,76,"27  24  25",-1,22.1,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"211",3,"blindfold","blindfold",3,27,0,"20130709T102308",30,1.2,17,0,10.98,11.82,73,1,83,"31  22  30",-1,14.9,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"212",3,"blindfold","blindfold",3,28,0,"20130709T102308",27.9,1.2,16,0,14.09,14.91,66,1,46,"2  29  15",-1,17.9,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"213",3,"blindfold","blindfold",3,29,0,"20130709T102308",25.8,1.2,15,1,10.27,11.43,57,1,57,"25  24   8",-1,14.4,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"214",3,"blindfold","blindfold",3,30,0,"20130709T102308",27.9,1.2,16,1,18.18,19.09,66,1,66,"27  26  13",-1,22.3,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"215",3,"blindfold","blindfold",3,31,0,"20130709T102308",30,1.2,17,1,20.33,21.06,64,1,64,"18  15  31",-1,24.2,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"216",3,"blindfold","blindfold",3,32,0,"20130709T102308",32.1,1.2,18,1,25.92,26.81,86,1,86,"28  31  27",-1,29.8,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"149",3,"stillhands","stillhands",2,4,0,"20130709T101209",2.3,1.2,2,1,1.01,1.39,4,1,4,"1  2  1",-1,4.13,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"153",3,"stillhands","stillhands",2,8,0,"20130709T101209",8.59,1.2,6,1,4.04,4.66,20,1,20,"7  10   3",-1,7.52,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"154",3,"stillhands","stillhands",2,5,0,"20130709T101209",3.74,1.2,3,1,11.67,12.52,13,1,13,"4  4  5",-1,15.5,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"155",3,"stillhands","stillhands",2,6,0,"20130709T101209",5.28,1.2,4,1,1.71,2.27,12,1,12,"2  5  5",-1,5.15,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"156",3,"stillhands","stillhands",2,7,0,"20130709T101209",6.9,1.2,5,1,4.42,5.35,15,1,15,"7  5  3",-1,8.24,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"171",3,"stillhands","stillhands",2,12,0,"20130709T101209",15.8,1.2,10,1,6.47,7.44,29,1,29,"1  15  13",-1,10.7,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"172",3,"stillhands","stillhands",2,13,0,"20130709T101209",17.8,1.2,11,1,15.99,16.89,41,1,41,"18  15   8",-1,19.9,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"173",3,"stillhands","stillhands",2,14,0,"20130709T101209",19.7,1.2,12,0,12.3,13.3,40,1,41,"4  18  19",-1,16.4,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"174",3,"stillhands","stillhands",2,15,0,"20130709T101209",17.8,1.2,11,1,10.45,11.33,34,1,34,"9  18   7",-1,14.3,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"175",3,"stillhands","stillhands",2,16,0,"20130709T101209",19.7,1.2,12,1,6.25,7.15,39,1,39,"19  12   8",-1,9.96,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"176",3,"stillhands","stillhands",2,17,0,"20130709T101209",21.7,1.2,13,0,16.07,17.19,56,1,53,"23  14  16",-1,20.4,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"177",3,"stillhands","stillhands",2,18,0,"20130709T101209",19.7,1.2,12,1,8.8,9.72,30,1,30,"7   2  21",-1,12.8,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"178",3,"stillhands","stillhands",2,19,0,"20130709T101209",21.7,1.2,13,1,8.35,9.34,50,1,50,"22  18  10",-1,12.3,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"181",3,"stillhands","stillhands",2,9,0,"20130709T101209",10.3,1.2,7,1,2.39,3.17,17,1,17,"6   1  10",-1,6.2,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"182",3,"stillhands","stillhands",2,10,0,"20130709T101209",12.1,1.2,8,1,5.94,6.76,31,1,31,"8  11  12",-1,9.58,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"183",3,"stillhands","stillhands",2,11,0,"20130709T101209",14,1.2,9,1,5.35,6.25,29,1,29,"9  14   6",-1,9.59,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"249",3,"stillhands","stillhands",2,22,0,"20130709T101209",23.7,1.2,14,1,5.87,6.65,45,1,45,"11  24  10",-1,9.53,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"250",3,"stillhands","stillhands",2,23,0,"20130709T101209",25.8,1.2,15,1,6.71,7.44,51,1,51,"5  20  26",-1,10.5,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"251",3,"stillhands","stillhands",2,24,0,"20130709T101209",27.9,1.2,16,0,11.11,12.31,62,1,72,"26  28  18",-1,15.4,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"252",3,"stillhands","stillhands",2,25,0,"20130709T101209",25.8,1.2,15,1,15.12,16.09,50,1,50,"17   7  26",-1,19.3,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"253",3,"stillhands","stillhands",2,26,0,"20130709T101209",27.9,1.2,16,1,10.29,11.42,67,1,67,"27  21  19",-1,14.6,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"254",3,"stillhands","stillhands",2,27,0,"20130709T101209",30,1.2,17,1,10.31,11.23,87,1,87,"26  30  31",-1,14.4,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"255",3,"stillhands","stillhands",2,28,0,"20130709T101209",32.1,1.2,18,1,6.91,7.65,52,1,52,"32   1  19",-1,10.6,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"256",3,"stillhands","stillhands",2,29,0,"20130709T101209",34.2,1.2,19,1,6.11,7.15,70,1,70,"2  34  34",-1,10.1,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"257",3,"stillhands","stillhands",2,30,0,"20130709T101209",36.4,1.2,20,0,30,30.1,-1,1,85,"20  28  37",-1,33.2,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"258",3,"stillhands","stillhands",2,31,0,"20130709T101209",34.2,1.2,19,0,9.74,10.52,70,1,60,"34  13  13",-1,13.6,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"259",3,"stillhands","stillhands",2,32,0,"20130709T101209",32.1,1.2,18,0,9.77,10.41,74,1,64,"33  14  17",-1,13.7,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"260",3,"stillhands","stillhands",2,20,0,"20130709T101209",23.7,1.2,14,1,7.65,8.44,47,1,47,"10  13  24",-1,11.5,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"261",3,"stillhands","stillhands",2,21,0,"20130709T101209",25.8,1.2,15,0,19.17,20.07,68,1,67,"23  25  19",-1,23.2,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"197",3,"interference","interference",1,4,1,"20130709T100140",2.3,1.2,2,1,1.83,2.42,4,1,4,"1  1  2",95,9,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"198",3,"interference","interference",1,5,1,"20130709T100140",3.74,1.2,3,1,1.73,2.32,9,1,9,"5  1  3",93,9.02,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"199",3,"interference","interference",1,6,1,"20130709T100140",5.28,1.2,4,1,2.09,3.01,15,1,15,"6  5  4",100,9.78,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"200",3,"interference","interference",1,7,1,"20130709T100140",6.9,1.2,5,1,2.34,3.01,10,1,10,"1  2  7",98,9.46,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"201",3,"interference","interference",1,8,1,"20130709T100140",8.59,1.2,6,1,1.73,2.42,17,1,17,"9  2  6",99,8.97,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"202",3,"interference","interference",1,9,1,"20130709T100140",10.3,1.2,7,1,3.1,3.81,19,1,19,"3  9  7",96,10.5,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"203",3,"interference","interference",1,10,1,"20130709T100140",12.1,1.2,8,1,1.71,2.51,31,1,31,"11  10  10",99,9.18,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"204",3,"interference","interference",1,11,1,"20130709T100140",14,1.2,9,0,5.41,6.09,31,1,21,"6  13   2",99,12.9,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"205",3,"interference","interference",1,12,1,"20130709T100140",12.1,1.2,8,1,2.25,2.81,31,1,31,"10   9  12",98,9.46,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"218",3,"interference","interference",1,25,1,"20130709T100140",21.7,1.2,13,0,4.4,5.1,36,1,35,"8   4  23",98,11.8,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"219",3,"interference","interference",1,26,1,"20130709T100140",19.7,1.2,12,1,1.8,2.51,44,1,44,"11  19  14",102,9.33,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"220",3,"interference","interference",1,27,1,"20130709T100140",21.7,1.2,13,0,4.06,4.8,50,1,40,"14  23   3",95,11.8,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"221",3,"interference","interference",1,28,1,"20130709T100140",19.7,1.2,12,1,1.89,2.62,41,1,41,"18  21   2",93,9.55,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"222",3,"interference","interference",1,29,1,"20130709T100140",21.7,1.2,13,1,1.68,2.72,34,1,34,"23   1  10",86,9.47,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"223",3,"interference","interference",1,30,1,"20130709T100140",23.7,1.2,14,0,3.29,3.91,55,1,57,"9  23  25",97,10.8,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"224",3,"interference","interference",1,31,1,"20130709T100140",21.7,1.2,13,1,1.96,2.62,63,1,63,"23  20  20",98,9.47,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"225",3,"interference","interference",1,32,1,"20130709T100140",23.7,1.2,14,0,2.8,3.81,61,1,51,"23  21   7",101,10.8,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"236",3,"interference","interference",1,15,1,"20130709T100140",14,1.2,9,1,1.9,2.81,25,1,25,"6  13   6",98,9.65,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"247",3,"interference","interference",1,13,1,"20130709T100140",14,1.2,9,0,3.31,4.01,24,1,23,"13   4   6",90,10.9,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"248",3,"interference","interference",1,14,1,"20130709T100140",12.1,1.2,8,1,2.02,2.81,14,1,14,"11   1   2",98,9.43,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"264",3,"interference","interference",1,16,1,"20130709T100140",15.8,1.2,10,1,1.82,2.62,31,1,31,"15   7   9",97,9.52,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"265",3,"interference","interference",1,17,1,"20130709T100140",17.8,1.2,11,1,3.68,4.5,32,1,32,"8   6  18",98,11.1,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"266",3,"interference","interference",1,18,1,"20130709T100140",19.7,1.2,12,1,1.98,2.72,27,1,27,"3   3  21",92,9.33,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"267",3,"interference","interference",1,19,1,"20130709T100140",21.7,1.2,13,0,1.94,3.31,68,1,48,"22  20   6",96,10.1,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"268",3,"interference","interference",1,20,1,"20130709T100140",19.7,1.2,12,1,3.43,4.11,42,1,42,"4  19  19",96,10.9,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"269",3,"interference","interference",1,21,1,"20130709T100140",21.7,1.2,13,1,2.51,3.51,39,1,39,"21  10   8",97,10.3,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"270",3,"interference","interference",1,22,1,"20130709T100140",23.7,1.2,14,0,3.56,4.4,50,1,40,"4  11  25",101,11.2,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"271",3,"interference","interference",1,23,1,"20130709T100140",21.7,1.2,13,0,3.42,4.21,49,1,51,"22  16  13",97,11.1,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"272",3,"interference","interference",1,24,1,"20130709T100140",19.7,1.2,12,1,3.67,4.4,42,1,42,"19  19   4",100,11.3,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"318",4,"baseline","baseline",2,4,0,"20130709T141503",2.3,1.2,2,1,1.88,2.18,6,1,6,"3  1  2",-1,4.91,"7/9/13","4/24/01",12.20807666,"F","no",0,0,1
"319",4,"baseline","baseline",2,5,0,"20130709T141503",3.74,1.2,3,1,4.71,5.17,9,1,9,"4  2  3",-1,8.04,"7/9/13","4/24/01",12.20807666,"F","no",0,0,1
"320",4,"baseline","baseline",2,6,0,"20130709T141503",5.28,1.2,4,1,7.09,7.54,12,1,12,"4  5  3",-1,10.4,"7/9/13","4/24/01",12.20807666,"F","no",0,0,1
"321",4,"baseline","baseline",2,7,0,"20130709T141503",6.9,1.2,5,1,5.98,6.46,15,1,15,"5  3  7",-1,9.4,"7/9/13","4/24/01",12.20807666,"F","no",0,0,1
"322",4,"baseline","baseline",2,8,0,"20130709T141503",8.59,1.2,6,0,6.55,6.94,12,1,14,"4  2  8",-1,9.77,"7/9/13","4/24/01",12.20807666,"F","no",0,0,1
"323",4,"baseline","baseline",2,9,0,"20130709T141503",6.9,1.2,5,1,9.32,9.84,13,1,13,"1  7  5",-1,13.2,"7/9/13","4/24/01",12.20807666,"F","no",0,0,1
"324",4,"baseline","baseline",2,10,0,"20130709T141503",8.59,1.2,6,1,17.07,18.17,24,1,24,"7  9  8",-1,21.2,"7/9/13","4/24/01",12.20807666,"F","no",0,0,1
"325",4,"baseline","baseline",2,11,0,"20130709T141503",10.3,1.2,7,1,5.18,5.77,13,1,13,"1   1  11",-1,8.64,"7/9/13","4/24/01",12.20807666,"F","no",0,0,1
"326",4,"baseline","baseline",2,12,0,"20130709T141503",12.1,1.2,8,1,12.94,13.62,24,1,24,"11   1  12",-1,16.5,"7/9/13","4/24/01",12.20807666,"F","no",0,0,1
"368",4,"baseline","baseline",2,13,0,"20130709T141503",14,1.2,9,1,18.02,18.97,37,1,37,"10  13  14",-1,22,"7/9/13","4/24/01",12.20807666,"F","no",0,0,1
"369",4,"baseline","baseline",2,14,0,"20130709T141503",15.8,1.2,10,1,9.31,10.32,43,1,43,"16  11  16",-1,13.4,"7/9/13","4/24/01",12.20807666,"F","no",0,0,1
"370",4,"baseline","baseline",2,15,0,"20130709T141503",17.8,1.2,11,0,21.53,22.35,42,1,41,"19   6  16",-1,25.4,"7/9/13","4/24/01",12.20807666,"F","no",0,0,1
"380",4,"baseline","baseline",2,24,0,"20130709T141503",27.9,1.2,16,1,15.4,16,42,1,42,"29  11   2",-1,18.8,"7/9/13","4/24/01",12.20807666,"F","no",0,0,1
"387",4,"baseline","baseline",2,18,0,"20130709T141503",19.7,1.2,12,0,21.86,22.74,39,1,43,"15   9  19",-1,25.8,"7/9/13","4/24/01",12.20807666,"F","no",0,0,1
"388",4,"baseline","baseline",2,19,0,"20130709T141503",17.8,1.2,11,1,14.23,15,39,1,39,"10  12  17",-1,18.1,"7/9/13","4/24/01",12.20807666,"F","no",0,0,1
"389",4,"baseline","baseline",2,20,0,"20130709T141503",19.7,1.2,12,1,4.37,5.07,31,1,31,"21   1   9",-1,8,"7/9/13","4/24/01",12.20807666,"F","no",0,0,1
"390",4,"baseline","baseline",2,21,0,"20130709T141503",21.7,1.2,13,1,8.68,9.33,46,1,46,"22  20   4",-1,12.4,"7/9/13","4/24/01",12.20807666,"F","no",0,0,1
"391",4,"baseline","baseline",2,22,0,"20130709T141503",23.7,1.2,14,1,11.74,12.52,43,1,43,"9  24  10",-1,15.5,"7/9/13","4/24/01",12.20807666,"F","no",0,0,1
"392",4,"baseline","baseline",2,23,0,"20130709T141503",25.8,1.2,15,1,11.64,12.41,58,1,58,"25  26   7",-1,15.6,"7/9/13","4/24/01",12.20807666,"F","no",0,0,1
"394",4,"baseline","baseline",2,25,0,"20130709T141503",30,1.2,17,1,14.4,15.2,42,1,42,"4  29   9",-1,18.2,"7/9/13","4/24/01",12.20807666,"F","no",0,0,1
"398",4,"baseline","baseline",2,16,0,"20130709T141503",15.8,1.2,10,1,14.84,15.5,31,1,31,"11   5  15",-1,18.5,"7/9/13","4/24/01",12.20807666,"F","no",0,0,1
"399",4,"baseline","baseline",2,17,0,"20130709T141503",17.8,1.2,11,1,15.05,15.68,34,1,34,"17  14   3",-1,18.8,"7/9/13","4/24/01",12.20807666,"F","no",0,0,1
"290",4,"blindfold","blindfold",3,21,0,"20130709T142622",25.8,1.2,15,1,8.55,9.23,46,1,46,"4  26  16",-1,12.4,"7/9/13","4/24/01",12.20807666,"F","no",0,0,1
"291",4,"blindfold","blindfold",3,22,0,"20130709T142622",27.9,1.2,16,1,9.18,9.94,58,1,58,"28  25   5",-1,12.9,"7/9/13","4/24/01",12.20807666,"F","no",0,0,1
"292",4,"blindfold","blindfold",3,20,0,"20130709T142622",27.9,1.2,16,0,20.52,21.25,52,1,66,"26  11  29",-1,24.3,"7/9/13","4/24/01",12.20807666,"F","no",0,0,1
"293",4,"blindfold","blindfold",3,24,0,"20130709T142622",32.1,1.2,18,1,16.23,17.39,73,1,73,"31  18  24",-1,20.5,"7/9/13","4/24/01",12.20807666,"F","no",0,0,1
"294",4,"blindfold","blindfold",3,25,0,"20130709T142622",34.2,1.2,19,0,21.7,22.44,74,1,73,"21  17  35",-1,25.8,"7/9/13","4/24/01",12.20807666,"F","no",0,0,1
"296",4,"blindfold","blindfold",3,23,0,"20130709T142622",30,1.2,17,1,15.08,15.7,51,1,51,"31  11   9",-1,18.7,"7/9/13","4/24/01",12.20807666,"F","no",0,0,1
"301",4,"blindfold","blindfold",3,19,0,"20130709T142622",30,1.2,17,0,30,30.1,-1,1,73,"29  29  15",-1,33.1,"7/9/13","4/24/01",12.20807666,"F","no",0,0,1
"342",4,"blindfold","blindfold",3,4,0,"20130709T142622",2.3,1.2,2,1,7.38,7.74,5,1,5,"1  2  2",-1,10.4,"7/9/13","4/24/01",12.20807666,"F","no",0,0,1
"343",4,"blindfold","blindfold",3,5,0,"20130709T142622",3.74,1.2,3,1,7.45,8.14,13,1,13,"4  4  5",-1,11.2,"7/9/13","4/24/01",12.20807666,"F","no",0,0,1
"344",4,"blindfold","blindfold",3,6,0,"20130709T142622",5.28,1.2,4,1,4.24,4.66,8,1,8,"5  2  1",-1,7.44,"7/9/13","4/24/01",12.20807666,"F","no",0,0,1
"345",4,"blindfold","blindfold",3,7,0,"20130709T142622",6.9,1.2,5,1,6.66,7.25,13,1,13,"3  3  7",-1,10.2,"7/9/13","4/24/01",12.20807666,"F","no",0,0,1
"346",4,"blindfold","blindfold",3,8,0,"20130709T142622",8.59,1.2,6,1,7.93,8.54,18,1,18,"9  5  4",-1,11.8,"7/9/13","4/24/01",12.20807666,"F","no",0,0,1
"347",4,"blindfold","blindfold",3,9,0,"20130709T142622",10.3,1.2,7,1,13.4,14.21,22,1,22,"9  7  6",-1,17.5,"7/9/13","4/24/01",12.20807666,"F","no",0,0,1
"348",4,"blindfold","blindfold",3,10,0,"20130709T142622",12.1,1.2,8,1,20.48,21.26,30,1,30,"9  13   8",-1,24.3,"7/9/13","4/24/01",12.20807666,"F","no",0,0,1
"349",4,"blindfold","blindfold",3,11,0,"20130709T142622",14,1.2,9,1,7.33,7.83,18,1,18,"1  13   4",-1,10.8,"7/9/13","4/24/01",12.20807666,"F","no",0,0,1
"350",4,"blindfold","blindfold",3,12,0,"20130709T142622",15.8,1.2,10,1,15.91,16.69,34,1,34,"13  15   6",-1,19.8,"7/9/13","4/24/01",12.20807666,"F","no",0,0,1
"351",4,"blindfold","blindfold",3,13,0,"20130709T142622",17.8,1.2,11,1,15.52,16.18,47,1,47,"18  18  11",-1,19.2,"7/9/13","4/24/01",12.20807666,"F","no",0,0,1
"352",4,"blindfold","blindfold",3,14,0,"20130709T142622",19.7,1.2,12,1,14.73,15.39,56,1,56,"20  18  18",-1,18.4,"7/9/13","4/24/01",12.20807666,"F","no",0,0,1
"353",4,"blindfold","blindfold",3,15,0,"20130709T142622",21.7,1.2,13,1,21.78,22.56,49,1,49,"22  22   5",-1,25.6,"7/9/13","4/24/01",12.20807666,"F","no",0,0,1
"354",4,"blindfold","blindfold",3,16,0,"20130709T142622",23.7,1.2,14,1,5.1,5.77,35,1,35,"7   3  25",-1,8.74,"7/9/13","4/24/01",12.20807666,"F","no",0,0,1
"355",4,"blindfold","blindfold",3,17,0,"20130709T142622",25.8,1.2,15,1,15.6,16.39,51,1,51,"4  22  25",-1,19.5,"7/9/13","4/24/01",12.20807666,"F","no",0,0,1
"356",4,"blindfold","blindfold",3,18,0,"20130709T142622",27.9,1.2,16,1,23.75,24.54,66,1,66,"27  21  18",-1,27.7,"7/9/13","4/24/01",12.20807666,"F","no",0,0,1
"299",4,"stillhands","stillhands",1,11,0,"20130709T140440",10.3,1.2,7,1,1.82,2.37,21,1,21,"10  10   1",-1,5.26,"7/9/13","4/24/01",12.20807666,"F","no",0,0,1
"305",4,"stillhands","stillhands",1,4,0,"20130709T140440",2.3,1.2,2,1,2.47,2.88,6,1,6,"3  1  2",-1,5.59,"7/9/13","4/24/01",12.20807666,"F","no",0,0,1
"306",4,"stillhands","stillhands",1,5,0,"20130709T140440",3.74,1.2,3,1,2.53,2.88,8,1,8,"3  2  3",-1,5.74,"7/9/13","4/24/01",12.20807666,"F","no",0,0,1
"307",4,"stillhands","stillhands",1,6,0,"20130709T140440",5.28,1.2,4,1,5.75,6.36,11,1,11,"4  4  3",-1,9.3,"7/9/13","4/24/01",12.20807666,"F","no",0,0,1
"308",4,"stillhands","stillhands",1,7,0,"20130709T140440",6.9,1.2,5,0,10.87,11.53,19,1,20,"8  7  5",-1,14.5,"7/9/13","4/24/01",12.20807666,"F","no",0,0,1
"309",4,"stillhands","stillhands",1,8,0,"20130709T140440",5.28,1.2,4,1,5.62,6.35,13,1,13,"5  3  5",-1,9.62,"7/9/13","4/24/01",12.20807666,"F","no",0,0,1
"310",4,"stillhands","stillhands",1,9,0,"20130709T140440",6.9,1.2,5,1,6.64,7.44,18,1,18,"7  4  7",-1,10.7,"7/9/13","4/24/01",12.20807666,"F","no",0,0,1
